country_code,service_class,nearest_total_ms,service_total_ms,total_improve_ms,total_improve_pct,nearest_sat_ms,service_sat_ms,sat_improve_pct,nearest_gnd_ms,service_gnd_ms,gnd_improve_pct,n
AR,ecommerce,28.84434176225178,17.914472708702515,10.929869053549265,37.89259309031293,13.611759087443353,14.580722708702515,-7.118577511065535,15.232582674808429,3.33375,78.11434822859462,48
AR,financial_services,31.029398574991244,17.13218104203585,13.897217532955395,44.78726037621668,13.611759087443353,14.580722708702515,-7.118577511065535,17.41763948754789,2.551458333333333,85.35129668312744,48
AR,gaming,28.84434176225178,17.914472708702515,10.929869053549265,37.89259309031293,13.611759087443353,14.580722708702515,-7.118577511065535,15.232582674808429,3.33375,78.11434822859462,48
AR,general_web,38.396525251236454,26.616604395449475,11.77992085578698,30.679653376727465,13.611759087443353,14.823271062116143,-8.900480583662343,24.784766163793105,11.793333333333331,52.417007869286834,48
AR,generative_ai,31.029398574991244,17.13218104203585,13.897217532955395,44.78726037621668,13.611759087443353,14.580722708702515,-7.118577511065535,17.41763948754789,2.551458333333333,85.35129668312744,48
AR,messaging,26.65928494951232,18.61327106211614,8.046013887396178,30.180906587081452,13.611759087443353,14.823271062116143,-8.900480583662343,13.047525862068966,3.79,70.95234728740355,48
AR,music_audio,31.029398574991244,17.13218104203585,13.897217532955395,44.78726037621668,13.611759087443353,14.580722708702515,-7.118577511065535,17.41763948754789,2.551458333333333,85.35129668312744,48
AR,news,57.5008922292058,43.883271062116144,13.61762116708966,23.682451939716177,13.611759087443353,14.823271062116143,-8.900480583662343,43.88913314176245,29.06,33.78771026045141,48
AR,social_media,26.65928494951232,18.61327106211614,8.046013887396178,30.180906587081452,13.611759087443353,14.823271062116143,-8.900480583662343,13.047525862068966,3.79,70.95234728740355,48
AR,video_streaming,31.029398574991244,17.13218104203585,13.897217532955395,44.78726037621668,13.611759087443353,14.580722708702515,-7.118577511065535,17.41763948754789,2.551458333333333,85.35129668312744,48
AU,ecommerce,61.935449843715034,56.66727208425386,5.2681777594611745,8.505916680599952,34.00933646112062,36.40167104472526,-7.03434654286641,27.926113382594416,20.265601039528597,27.43135873623003,240
